,Deal Year,Deal Type 2,Deal Size
0,2010,Seed Round,1.115
1,2010,Series A,2.8200000000000003
2,2010,Series B,6.025
6,2011,Seed Round,0.37
7,2011,Series A,2.14
8,2011,Series B,6.705
10,2012,Seed Round,1.71
11,2012,Series A,5.08
12,2012,Series B,5.065
16,2013,Seed Round,0.41
17,2013,Series A,6.535
18,2013,Series B,11.61
23,2014,Seed Round,0.725
24,2014,Series A,4.734999999999999
25,2014,Series B,14.935
30,2015,Seed Round,1.52
31,2015,Series A,6.935
32,2015,Series B,16.375
35,2016,Seed Round,1.94
36,2016,Series A,7.78
37,2016,Series B,14.61
41,2017,Seed Round,2.1
42,2017,Series A,9.3
43,2017,Series B,15.1
47,2018,Seed Round,2.855
48,2018,Series A,9.84
49,2018,Series B,13.82
54,2019,Seed Round,2.2
55,2019,Series A,10.54
56,2019,Series B,26.865
61,2020,Seed Round,2.55
62,2020,Series A,11.04
63,2020,Series B,26.990000000000002
69,2021,Seed Round,3.33
70,2021,Series A,15.35
71,2021,Series B,29.689999999999998
78,2022,Seed Round,4.425
79,2022,Series A,14.675
80,2022,Series B,41.33
86,2023,Seed Round,4.42
87,2023,Series A,17.924999999999997
88,2023,Series B,30.89
93,2024,Seed Round,4.46
94,2024,Series A,13.775
95,2024,Series B,32.46
