,Deal Year,Deal Type 2,Pre-money Valuation
0,2010,Seed Round,
1,2010,Series A,6.475
2,2010,Series B,18.79
6,2011,Seed Round,0.73
7,2011,Series A,7.414999999999999
8,2011,Series B,24.48
10,2012,Seed Round,3.84
11,2012,Series A,11.18
12,2012,Series B,22.995
16,2013,Seed Round,4.595000000000001
17,2013,Series A,10.620000000000001
18,2013,Series B,39.065
23,2014,Seed Round,3.925
24,2014,Series A,13.52
25,2014,Series B,134.82
30,2015,Seed Round,6.51
31,2015,Series A,17.85
32,2015,Series B,53.95
35,2016,Seed Round,6.87
36,2016,Series A,25.24
37,2016,Series B,51.91
41,2017,Seed Round,4.975
42,2017,Series A,27.56
43,2017,Series B,77.42
47,2018,Seed Round,10.89
48,2018,Series A,25.915
49,2018,Series B,67.72
54,2019,Seed Round,4.92
55,2019,Series A,29.745
56,2019,Series B,261.125
61,2020,Seed Round,7.6
62,2020,Series A,31.42
63,2020,Series B,122.89
69,2021,Seed Round,11.0
70,2021,Series A,53.72
71,2021,Series B,167.375
78,2022,Seed Round,15.915
79,2022,Series A,57.06
80,2022,Series B,331.33
86,2023,Seed Round,17.11
87,2023,Series A,60.51
88,2023,Series B,130.075
93,2024,Seed Round,19.5
94,2024,Series A,78.775
95,2024,Series B,257.185
