Control Group Pre-money Valuation,COSS Pre-money Valuation
,1584.39
543.38,6824.2
28.04,669.41
,1931.97
,1135.18
261.17,1449.79
59.89,8891.65
79.57,11549.87
2000.29,455.29
578.99,2996.58
,370.0
162.24,832.75
97.25,1810.39
22.71,2641.96
377.71,3014.37
1834.36,456.13
,598.13
558.15,807.13
182.98,198.18
,369.79
,
,
81.29,
33.58,
,
12.02,
1286.09,
161.36,
,
396.18,
2827.83,
,
479.65,
898.17,
,
14.71,
,
1678.52,
18.01,
3502.58,
,
,
5420.93,
298.65,
147.97,
6490.41,
,
169.19,
3482.73,
8.09,
,
745.07,
,
155.13,
293.64,
,
10.17,
,
22.24,
48.6,
,
,
,
46.65,
431.09,
9.88,
,
,
86.5,
164.27,
7.11,
300.73,
107.62,
,
192.34,
524.78,
34.77,
525.38,
11.35,
,
,
50.27,
227.34,
,
,
1538.05,
10936.78,
11.41,
144.16,
260.8,
44.94,
196.36,
,
,
69.83,
23.92,
1119.27,
18.53,
1747.23,
258.43,
,
432.78,
34.96,
,
216.61,
2097.41,
36.2,
134.73,
,
4010.91,
2044.8,
218.15,
219.81,
133.72,
171.17,
1408.01,
85.81,
4540.44,
73.31,
,
,
,
6432.39,
,
334.82,
132.72,
,
,
40.83,
139.7,
326.66,
38.27,
38.3,
25193.07,
1285.8,
,
517.71,
1031.03,
,
2261.01,
187.54,
,
,
98.6,
,
8.98,
1172.85,
1579.0,
54.39,
139.24,
,
12.82,
,
132.36,
268.82,
473.6,
306.84,
112.51,
,
192.97,
62.79,
96.63,
31.86,
23.64,
5.63,
2.91,
